Year,Quarter,Actual
1997,1Q 1997,201783.4707
1997,2Q 1997,230786.4053
1997,3Q 1997,219945.8271
1997,4Q 1997,218882.297
1998,1Q 1998,199899.6368
1998,2Q 1998,214667.1658
1998,3Q 1998,195291.4357
1998,4Q 1998,192840.7617
1999,1Q 1999,210631.5921
1999,2Q 1999,219814.1254
1999,3Q 1999,209775.1187
1999,4Q 1999,218926.1638
2000,1Q 2000,183667
2000,2Q 2000,197040
2000,3Q 2000,213604
2000,4Q 2000,200394
2001,1Q 2001,196147
2001,2Q 2001,210428
2001,3Q 2001,228117
2001,4Q 2001,209669
2002,1Q 2002,219249
2002,2Q 2002,235213
2002,3Q 2002,254984
2002,4Q 2002,239217
2003,1Q 2003,233259
2003,2Q 2003,250242
2003,3Q 2003,271277
2003,4Q 2003,254501
2004,1Q 2004,263091
2004,2Q 2004,282246
2004,3Q 2004,305971
2004,4Q 2004,287050
2005,1Q 2005,300284
2005,2Q 2005,322147
2005,3Q 2005,349226
2005,4Q 2005,327630
2006,1Q 2006,297423
2006,2Q 2006,321590
2006,3Q 2006,327639
2006,4Q 2006,352633
2007,1Q 2007,334102
2007,2Q 2007,369862
2007,3Q 2007,373820
2007,4Q 2007,400119
2008,1Q 2008,398877
2008,2Q 2008,437691
2008,3Q 2008,428852
2008,4Q 2008,350820
2009,1Q 2009,322782
2009,2Q 2009,350779
2009,3Q 2009,353571
2009,4Q 2009,365939
2010,1Q 2010,353206
2010,2Q 2010,394277
2010,3Q 2010,374369
2010,4Q 2010,396476
2011,1Q 2011,396238
2011,2Q 2011,419855
2011,3Q 2011,399556
2011,4Q 2011,405615
2012,1Q 2012,396210
2012,2Q 2012,402050
2012,3Q 2012,394707
2012,4Q 2012,350331
2013,1Q 2013,367696
2013,2Q 2013,373708
2013,3Q 2013,359702
2013,4Q 2013,365595
2014,1Q 2014,333225
2014,2Q 2014,371374
2014,3Q 2014,358369
2014,4Q 2014,365877
2015,1Q 2015,331606
2015,2Q 2015,367640
2015,3Q 2015,347486
2015,4Q 2015,344893
2016,1Q 2016,330799
2016,2Q 2016,345520
2016,3Q 2016,333680
2016,4Q 2016,346128
2017,1Q 2017,331700
2017,2Q 2017,359960
2017,3Q 2017,351745
2017,4Q 2017,371056
2018,1Q 2018,361700
2018,2Q 2018,394689
2018,3Q 2018,358267
2018,4Q 2018,362124
2019,1Q 2019,355229
2019,2Q 2019,386289
